place_id,best_type,subtype
ChIJYVOUbjvIBZERdBp3eI6wbZk,Muay Thai,MMA
ChIJsZ2tIsLHBZER37S3_pK3UIs,Muay Thai,Capoeira
ChIJsZ2tIsLHBZER37S3_pK3UIs,Muay Thai,Jiu jitsu
ChIJsZ2tIsLHBZER37S3_pK3UIs,Muay Thai,Wrestling
ChIJR7eS71vOBZERIgPBA0j4K7E,Boxing,Muay Thai
ChIJR7eS71vOBZERIgPBA0j4K7E,Boxing,MMA
ChIJOWUMw77PBZERy8POn-61MWk,Muay Thai,Boxing
ChIJOWUMw77PBZERy8POn-61MWk,Muay Thai,Kickboxing
ChIJOWUMw77PBZERy8POn-61MWk,Muay Thai,MMA
ChIJ7ZUIvK7FBZERUZZa79pBF54,Muay Thai,MMA
ChIJPSIV6RrFBZER_QQAA2iF31s,Kung Fu,Sanda
ChIJPSIV6RrFBZER_QQAA2iF31s,Kung Fu,Muay Thai
ChIJPSIV6RrFBZER_QQAA2iF31s,Kung Fu,Boxing
ChIJPSIV6RrFBZER_QQAA2iF31s,Kung Fu,MMA
ChIJh4tNXAG3BZERzNdN3Wepyjo,Muay Thai,MMA
ChIJfR7pXMrRBZERFdTSKfVDIKg,Boxing,Kickboxing
ChIJfR7pXMrRBZERFdTSKfVDIKg,Boxing,MMA
ChIJieoTqpHFBZEReDjwbQNIQmc,Boxing,MMA
ChIJieoTqpHFBZEReDjwbQNIQmc,Boxing,Muay Thai
ChIJM6SvQ-3JBZERvH2XIwsA4kY,Muay Thai,MMA
ChIJM6SvQ-3JBZERvH2XIwsA4kY,Muay Thai,Jiu Jitsu
ChIJ4aVREwDHBZERglyIXiaVZ9Y,Boxing,Muay Thai
ChIJ4aVREwDHBZERglyIXiaVZ9Y,Boxing,MMA
ChIJ148eGJzJBZER-YR5bt1dUDM,Muay Thai,MMA
ChIJK8LnTOjFBZERBwnyzoHB4IY,Muay Thai,Boxing
ChIJK8LnTOjFBZERBwnyzoHB4IY,Muay Thai,MMA
ChIJ85ntbIC7BZERa5AoRUpRtro,Muay Thai,Boxing
ChIJ85ntbIC7BZERa5AoRUpRtro,Muay Thai,MMA
ChIJcVtkKVrHBZERpcPJO0DIVvo,Boxing,Wrestling
ChIJcVtkKVrHBZERpcPJO0DIVvo,Boxing,MMA
ChIJeaNN3PW3BZER1JN21LAn4G4,Sanda,MMA
ChIJeaNN3PW3BZER1JN21LAn4G4,Sanda,Jiu Jitsu
ChIJeaNN3PW3BZER1JN21LAn4G4,Sanda,Judo
